"","year","list","name","last_name","net_worth_change.millions","age","source","industry","gender","country","timestamp","net_worth.realtime.millions","real_time.rank","real_time.position","squareImage","title.company","headquarters","state","net_worth.millions","position","rank","url.bio.forbes","url.image"
"1",2000,"Billionaires","Warren Buffett","Buffett",-404.563,87,"Berkshire Hathaway","Finance and Investments","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59d5055931358e542c034ead/416x416.jpg?background=000000&cropX1=46&cropX2=693&cropY1=159&cropY2=806","CEO, Berkshire Hathaway","NE","Nebraska",85064.431,3,3,"http://www.forbes.com/profile/warren-buffett","http://i.forbesimg.com/media/lists/people/warren-buffett_200x200.jpg"
"2",2000,"Billionaires","Sergey Brin","Brin",-5.005,44,"Google","Technology","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59d50a0ca7ea436b47b36d2d/416x416.jpg?background=000000&cropX1=655&cropX2=3090&cropY1=5&cropY2=2439","President, Alphabet","CA","California",47880.496,13,13,"http://www.forbes.com/profile/sergey-brin","http://i.forbesimg.com/media/lists/people/sergey-brin_200x200.jpg"
"3",2000,"Billionaires","Sheldon Adelson","Adelson",695.805,84,"casinos","Gambling & Casinos","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59d50b9d4bbe6f37dd9ff765/416x416.jpg?background=000000&cropX1=338&cropX2=1928&cropY1=144&cropY2=1733","Chairman and CEO, Las Vegas Sands","NV","Nevada",39565.748,19,19,"http://www.forbes.com/profile/sheldon-adelson","http://i.forbesimg.com/media/lists/people/sheldon-adelson_200x200.jpg"
"4",2000,"Billionaires","Steve Ballmer","Ballmer",284.927,61,"Microsoft","Technology","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617","Owner, Los Angeles Clippers","WA","Washington",39011.789,21,21,"http://www.forbes.com/profile/steve-ballmer","http://i.forbesimg.com/media/lists/people/steve-ballmer_200x200.jpg"
"5",2000,"Billionaires","Wang Jianlin","Wang",-3.791,63,"real estate","Real Estate","M","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a0b1e1331358e542c053e6a/416x416.jpg?background=000000&cropX1=1473&cropX2=5308&cropY1=8&cropY2=3840","Chairman, Dalian Wanda Group",NA,"Beijing",31732.995,23,23,"http://www.forbes.com/profile/wang-jianlin","http://i.forbesimg.com/media/lists/people/wang-jianlin_200x200.jpg"
"6",2000,"Billionaires","Susanne Klatten","Klatten",-94.07,55,"BMW, pharmaceuticals","Automotive","F","Germany",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/58a1e790a7ea431f32196773/416x416.jpg?background=000000&cropX1=35&cropX2=744&cropY1=200&cropY2=909",NA,NA,NA,25122.138,33,33,"http://www.forbes.com/profile/susanne-klatten","http://i.forbesimg.com/media/lists/people/susanne-klatten_200x200.jpg"
"7",2000,"Billionaires","Stefan Quandt","Quandt",-113.292,51,"BMW","Automotive","M","Germany",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=53&cropX2=720&cropY1=10&cropY2=677",NA,NA,NA,22063.411,41,41,"http://www.forbes.com/profile/stefan-quandt","http://i.forbesimg.com/media/lists/people/stefan-quandt_200x200.jpg"
"8",2000,"Billionaires","Yang Huiyan","Yang",34.588,36,"real estate","Real Estate","F","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602","Country Garden Holdings",NA,"Guangdong",21955.172,42,42,"http://www.forbes.com/profile/yang-huiyan","http://i.forbesimg.com/media/lists/people/yang-huiyan_200x200.jpg"
"9",2000,"Billionaires","Thomas Peterffy","Peterffy",55.485,73,"discount brokerage","Finance and Investments","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839",NA,"FL","Florida",20811.605,48,48,"http://www.forbes.com/profile/thomas-peterffy","http://i.forbesimg.com/media/lists/people/thomas-peterffy_200x200.jpg"
"10",2000,"Billionaires","Zhou Hongyi","Zhou",2021.055,47,"security software","Technology","M","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/589f2f00a7ea431f321947dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=306&cropY2=1050",NA,NA,"Beijing",20729.035,49,49,"http://www.forbes.com/profile/zhou-hongyi","http://i.forbesimg.com/media/lists/people/zhou-hongyi_200x200.jpg"
