name,wealth,country,year ,age
"Gates, William III",18.5,United States,1996,
"Buffet, Warren",15,United States,1996,
"Paul Sacher,Oeri and Hoffman, Family",13.1,Switzerland,1996,
Lee Shau Kee,12.7,Hong Kong,1996,
"Tsai Wan-lin, Family",12.2,Taiwan,1996,
"Kwok, Brothers",11.2,Hong Kong,1996,
"Li Ka-shing, Family",10.6,Hong Kong,1996,
"Tsutsumi, Yoshiaki",9.2,Japan,1996,
"Albrecht, Theo and Karl",9,Germany,1996,
"Rausing, Hans and Gad",9,Scandinavia,1996,
"Quandt, Johanna, Susanne and Stefan",8.1,Germany,1996,
"Haniel, Family",8.1,Germany,1996,
"Allen, Paul",7.5,United States,1996,
"Thomson, Kenneth",7.4,Canada,1996,
"Kluge, John Werner",7.2,United States,1996,
Tan Yu,7,Philippines,1996,
"Wonowidjojo, Family",6.7,Indonesia,1996,
"Slim Hel7, Carlos",6.1,Mexico,1996,
"Ellison, Lawrence",6,United States,1996,
"Chung Ju-yung, Family",5.9,Korea,1996,
"Mulliez, GTrard",5.7,France,1996,
"Kuok, Robert",5.7,Malaysia,1996,
"Kwek Leng Beng, Family",5.7,Singapore,1996,
"Cheng Yu-tung, Family",5.5,Hong Kong,1996,
"Haefner, Walter",5.5,Switzerland,1996,
"Knight, Philip Hampson",5.3,United States,1996,
"Otto, Michael",5.2,Germany,1996,
"Fong, Teng",5.2,Hong Kong,1996,
"Ng, Robert",5.2,Hong Kong,1996,
"Takei, Yasuo",5.2,Japan,1996,
"Ermfrio de Moraes, Antonio",5.1,Brazil,1996,
"Widjaja, Eka Tjipta",5.1,Indonesia,1996,
"Bettencourt, Liliane",5,France,1996,
"Merck, Family",5,Germany,1996,
"Berlusconi, Silvio",5,Italy,1996,
"Bin Mahfouz, Mohamed Salim",5,Saudi Arabia,1996,
"Lee Kun-hee, Family",4.9,Korea,1996,
"Walton, John T.",4.8,United States,1996,
"Walton, Jim C.",4.8,United States,1996,
"Walton, Helen Robson",4.7,United States,1996,
"Walton, Alice Louise",4.7,United States,1996,
"Walton, S. Robson",4.7,United States,1996,
"Henkel, Family",4.6,Germany,1996,
"Son, Masayoshi",4.6,Japan,1996,
"Flick, Friedrich Karl Jr.",4.5,Germany,1996,
"Liem Sioe Liong, Family",4.5,Indonesia,1996,
"Landolt, Family",4.5,Switzerland,1996,
"Newhouse, Donald Edward",4.5,United States,1996,
"Newhouse, Samuel Irving Jr.",4.5,United States,1996,
"Chearavanont, Dhanin",4.2,Thailand,1996,
"Boehringer, Family",4.1,Germany,1996,
"Sainsbury, David",4.1,United Kingdom,1996,
"Seydoux/Schlumberger, Families",4,France,1996,
"Ito, Masatoshi",4,Japan,1996,
"Iwasaki, Family",4,Japan,1996,
"Kot, Rahmi",4,Turkey,1996,
"Anthony, Barbara Cox",4,United States,1996,
"Chambers, Anne Cox",4,United States,1996,
"Perelman, Ronald Owen",4,United States,1996,
"Mori, Minoru and Akira",3.9,Japan,1996,
"Beisheim, Otto",3.8,Germany,1996,
"Schickedanz, Family",3.8,Germany,1996,
"Brenninkmeijer, Family",3.8,Netherlands,1996,
"Moore, Gordon Earle",3.7,United States,1996,
"Annenberg, Walter Hubert",3.7,United States,1996,
"Ballmer, Steven Anthony",3.7,United States,1996,
"Perez Companc, Gregorio",3.6,Argentina,1996,
"Engelhorn, Curt",3.6,Germany,1996,
Shin Kyuk-ho,3.6,Korea,1996,
"Irving, Family",3.5,Canada,1996,
"Niarchos, Family",3.5,Greece,1996,
"Wang, Yue-Che (Y.C.)",3.5,Taiwan,1996,
"Sabanci, Sakip",3.5,Turkey,1996,
"Haub, Erivan",3.4,Germany,1996,
"Tiong Hiew King, Family",3.4,Malaysia,1996,
"Kerkorian, Kirk",3.4,United States,1996,
"Redstone, Sumner Murray",3.4,United States,1996,
"Defforey, Denis",3.3,France,1996,
"Gerling, Rolf",3.3,Germany,1996,
"Wang, Nina",3.3,Hong Kong,1996,
"Quek Leng Chan, Family",3.3,Malaysia,1996,
"Weston, Garry",3.3,United Kingdom,1996,
"Perot, Henry Ross",3.3,United States,1996,
"Saji, Keizo",3.2,Japan,1996,
"Murdoch, Keith Rupert",3.2,United States,1996,
"DeVos, Richard Marvin",3.2,United States,1996,
"Van Andel, Jay",3.2,United States,1996,
"von Finck, Wilhelm and August",3.1,Germany,1996,
"Schmidt-Ruthenbeck, Family",3.1,Germany,1996,
"Ho, Stanley",3.1,Hong Kong,1996,
Kyosuke Kinoshita,3.1,Japan,1996,
"Sophonpanich, Chatri",3.1,Thailand,1996,
"Haas, Peter Sr.",3.1,United States,1996,
"Lemos, Family",3,Greece,1996,
"Al-Kharafi, Jassim",3,Kuwait,1996,
"Olayan, Suliman",3,Saudi Arabia,1996,
Khoo Teck Puat,3,Singapore,1996,
"Mars, John Franklyn",3,United States,1996,
"Vogel, Jacqueline Mars",3,United States,1996,
"Pritzker, Jay Arthur",3,United States,1996,
"Pritzker, Robert Allen",3,United States,1996,
"Mars, Forrest Edward Sr.",3,United States,1996,
"Mars, Forrest Edward Jr.",3,United States,1996,
"Oetker, Rudolf",2.9,Germany,1996,
"Koo Cha-kyung, Family",2.9,Korea,1996,
"Hewlett, William Redington",2.9,United States,1996,
"Kipp, Karl-Heinz",2.8,Germany,1996,
"Sampoerna, Putera",2.8,Indonesia,1996,
"Agnelli, Giovanni",2.8,Italy,1996,
"Chey Jong-hyon, Family",2.8,Korea,1996,
"Dumas (HermFs), Jean-Louis",2.7,France,1996,
"Hopp, Dietmar",2.7,Germany,1996,
"Herz, Gnnter",2.7,Germany,1996,
Lim Goh Tong,2.7,Malaysia,1996,
"Wu, Eugene",2.7,Taiwan,1996,
"Bronfman, Edgar Miles",2.7,United States,1996,
"Bronfman, Charles",2.6,Canada,1996,
