name,wealth,country,year,age
"Bolkiah, Sultan Hassanal",38,Brunei,1997,
"Gates, William H. III",36.4,United States,1997,
Walton Family,27.6,United States,1997,
"Buffett, Warren E.",23.2,United States,1997,
"Alsaud, King Faud Bin Abdul Aziz",20,Saudi Arabia,1997,
Suharto,16,Indonesia,1997,
"Allen, Paul Gardner",15.31,United States,1997,
"Al-Sabah, Sheikh Jaber Al-ahmed Al-jaber",15,Kuwait,1997,
Lee Shau Kee,14.7,Hong Kong,1997,
"Oeri, Hoffman and Sacher families",14.3,Switzerland,1997,
Haas Family,12.3,United States,1997,
"Kwok Brothers, Walter, Thomas, Raymond",12.3,Hong Kong,1997,
"Mars, Forrest Edward Sr. and family",12,United States,1997,
Quandt family,11.7,Germany,1997,
"Albrecht, Theo and Karl and family",11.5,Germany,1997,
Tsai Wan-lin and family,11.3,Taiwan,1997,
"Alsaud, Prince Alwaleed Bin Talal",11,Saudi Arabia,1997,
"Engelhorn, Curt and family",11,Germany,1997,
Li Ka-shing,11,Hong Kong,1997,
"Thomson, Kenneth",11,Canada,1997,
"Al Nahyan, Sheikh Zayed Bin Sultan",10,United Arab Emi,1997,
Haniel family,9.3,Germany,1997,
"Newhouse, Samuel I. Jr. and Donald E.",9,United States,1997,
"Rausing, Hans and Gad",9,Sweden,1997,
Cargill family,8.8,United States,1997,
"Bettencourt, Lilianne",8.4,France,1997,
"Tsutsumi, Yoshiaki",8,Japan,1997,
"Ballmer, Steven A.",7.5,United States,1997,
Wonowidjojo family,7.3,Indonesia,1997,
"Kluge, John W.",7.2,United States,1997,
Tan Yu,7.2,Philippines,1997,
"Ellison, Lawrence J.",7.1,United States,1997,
"Kuok, Robert",7,Malaysia,1997,
"Mulliez, Gerard and family",7,France,1997,
"Ng, Robert and Teng Fong",7,Singapore,1997,
"Wang, Nina",7,Hong Kong,1997,
"Moore, Gordon E.",6.7,United States,1997,
"Slim Helu, Carlos",6.6,Mexico,1997,
Cheng Yu-tung,6.5,Hong Kong,1997,
"Haefner, Walter",6.4,Switzerland,1997,
Landolt family,6.3,Switzerland,1997,
Bass family,6,United States,1997,
"Pritzker, Jay A. and Robert A.",6,United States,1997,
"Knight, Philip H.",5.8,United States,1997,
Kwek Leng Beng,5.8,Singapore,1997,
"Ermirio De Moraes, Antonio and family",5.7,Brazil,1997,
"Mori, Minoru and Akira",5.7,Japan,1997,
"Langmann, Hans Joachim and family",5.6,Germany,1997,
"Wang, Yue-che",5.5,Taiwan,1997,
"Widjaja, Eka Tjipta",5.4,Indonesia,1997,
Seydoux/Schlumberger families,5.3,France,1997,
Chung Ju-yung and family,5.2,Korea,1997,
Lee Kun-hee and family,5.2,Korea,1997,
"Perez Companc, Gregorio",5.2,Argentina,1997,
"Takei, Yasuo",5.2,Japan,1997,
"Woeste, Albrecht and Henkel family",5.2,Germany,1997,
"Anschutz, Philip F.",5,United States,1997,
"Haub, Erivan and family",5,Germany,1997,
"Hussein, Saddam",5,Iraq,1997,
"Berlusconi, Silvio",4.9,Italy,1997,
"Lauder, Leonard A. and Ronald S.",4.9,United States,1997,
"Beisheim, Otto",4.8,Germany,1997,
Queen Beatrix,4.7,Netherlands,1997,
"Tisch, Laurence A. And Preston R.",4.7,United States,1997,
