name,wealth,country,year,age 
"Gates, William H. III",90,USA,1999,
"Buffett, Warren Edward",36,USA,1999,
"Allen, Paul Gardner",30,USA,1999,
"Ballmer, Steven Anthony",19.5,USA,1999,
"Oeri, Hoffmann and Sacher families",17,Switzerland,1999,
"Anschutz, Philip F.",16.5,USA,1999,
"Dell, Michael",16.5,USA,1999,
"Walton, S. Robson",15.8,USA,1999,
"Alsaud, Prince Alwaleed Bin Talal",15,Saudi Arabia,1999,
"Bettencourt, Liliane",13.9,France,1999,
"Albrecht, Theo & Karl and family",13.6,Germany,1999,
Li Ka-shing,12.7,Hong Kong,1999,
Haniel family,12.4,Germany,1999,
"Engelhorn, Curt and family",12,Bermuda,1999,
"Thomson, Kenneth",11.9,Canada,1999,
Lee Shau Kee,11.1,Hong Kong,1999,
"Kluge, John Werner",10.5,USA,1999,
"Walker, Jay S.",10.2,USA,1999,
"Bezos, Jeffrey P.",10.1,USA,1999,
Quandt family,9.9,Germany,1999,
"Mulliez, Gerard and family",9.8,France,1999,
"Kwok brothers, Walter, Thomas, Raymond",9.7,Hong Kong,1999,
"Ellison, Lawrence Joseph",9.5,USA,1999,
"Rausing, Gad and family",9,Sweden,1999,
"Redstone, Sumner M.",8.7,USA,1999,
"Schwab, Charles R.",8.7,USA,1999,
"Berlusconi, Silvio",8,Italy,1999,
"Slim Helu, Carlos",8,Mexico,1999,
"Omidyar, Pierre M.",7.8,USA,1999,
"Takei, Yasuo",7.8,Japan,1999,
"Turner, Robert E. (ted)",7.8,USA,1999,
"Kerkorian, Kirk",7.3,USA,1999,
"Haefner, Walter",7.2,Switzerland,1999,
"Murdoch, Keith Rupert",7.2,USA,1999,
Boehringer family,7.1,Germany,1999,
"Olayan, Suliman",7.1,Saudi Arabia,1999,
"Schwarz, Dieter",7.1,Germany,1999,
"Persson, Stefan",7,Sweden,1999,
"Rausing, Hans",7,Sweden,1999,
"Beisheim, Otto",6.8,Germany,1999,
"Saji, Keizo",6.7,Japan,1999,
Schmidt-Ruthenbeck family,6.6,Germany,1999,
"Landolt, Pierre and family",6.4,Switzerland,1999,
"Pinault, Francois",6.4,France,1999,
Seydoux/Schlumberger families,6.4,France,1999,
"Son, Masayoshi",6.4,Japan,1999,
"Arnault, Bernard",6,France,1999,
Tsai Wan-lin and family,5.9,Taiwan,1999,
"Knight, Philip H.",5.8,USA,1999,
"Wang, Y.C.",5.8,Taiwan,1999,
"Otto, Michael",5.7,Germany,1999,
"Arison, Theodore",5.6,Israel,1999,
Defforey family,5.6,France,1999,
"Haub, Erivan and family",5.6,Germany,1999,
"Woeste, Albrecht and Henkel family",5.6,Germany,1999,
"Latsis, Spiro",5.4,Greece,1999,
"Hopp, Dietmar and sons",5.2,Germany,1999,
"Gerling, Rolf",5.1,Germany,1999,
"Herz, G|nter and family",5.1,Germany,1999,
"Winnick, Gary",5.1,USA,1999,
"Arison, Micky",5,USA,1999,
"Kirch, Leo",5,Germany,1999,
"Piech, Ferdinand and family",5,Austria,1999,
"Pritzker, Robert Alan",5,USA,1999,
"Tschira, Klaus",5,Germany,1999,
"Flick, Friedrich Karl Jr.",4.9,Germany,1999,
"Sainsbury, David",4.9,UK,1999,
"Halley, Paul-Louis and family",4.8,France,1999,
"Ito, Masatoshi",4.8,Japan,1999,
"Kinoshita, Kyosuke",4.8,Japan,1999,
"Scott, Walter Jr.",4.8,USA,1999,
"Skoll, Jeffrey S.",4.8,USA,1999,
"Tsutsumi, Yoshiaki",4.8,Japan,1999,
"von Finck, August and family",4.8,Germany,1999,
"Al-Kharafi, Nasser",4.7,Kuwait,1999,
"Ricketts, J. Joe",4.7,USA,1999,
"Wurth, Reinhold",4.7,Germany,1999,
"Waitt, Theodore W.",4.6,USA,1999,
"Kuok, Robert",4.5,Malaysia,1999,
"Langmann, Hans Joachim",4.5,Germany,1999,
"Newhouse, Donald Edward",4.5,USA,1999,
"Newhouse, Samuel Irving Jr.",4.5,USA,1999,
"Sabanci, Sakip and family",4.5,Turkey,1999,
Cheng Yu-tung,4.4,Hong Kong,1999,
"Hostetter, Amos Barr Jr.",4.4,USA,1999,
"Lauder, Leonard Alan",4.4,USA,1999,
"Lauder, Ronald Steven",4.4,USA,1999,
"Malone, John C.",4.4,USA,1999,
"Plattner, Hasso",4.4,Germany,1999,
"Schmidheiny, Stephan",4.4,Switzerland,1999,
"Bronfman, Edgar M. Sr.",4.3,USA,1999,
"Fisher, Donald George",4.3,USA,1999,
"Fisher, Doris Feigenbaum",4.3,USA,1999,
"Jahr, John and family",4.3,Germany,1999,
Reimann family,4.3,Germany,1999,
"Shigeta, Yasumitsu",4.3,Japan,1999,
"Johnson, Abigail",4.2,USA,1999,
"McCaw, Craig O.",4.2,USA,1999,
"Perelman, Ronald Owen",4.2,USA,1999,
"Filo, David",4.1,USA,1999,
"Al-Hariri, Rafik and family",4,Lebanon,1999,
"Benetton, Luciano and family",4,Italy,1999,
"Mars, Forrest Edward Sr.",4,USA,1999,
"Mars, John F.",4,USA,1999,
"Perot, Henry Ross",4,USA,1999,
"Soros, George",4,USA,1999,
"Wang, Nina",4,Hong Kong,1999,
"Yang, Jerry",4,USA,1999,
"Bertarelli, Ernesto",3.9,Switzerland,1999,
"Bronfman, Charles R.",3.7,Canada,1999,
"Irving, James, Arthur and John",3.7,Canada,1999,
"Packer, Kerry",3.7,Australia,1999,
"Broad, Eli",3.6,USA,1999,
"Dolan, Charles Francis",3.6,USA,1999,
"Johnson, Samuel Curtis",3.6,USA,1999,
"Matsuda, Kazuo",3.6,Japan,1999,
"Mori, Akira",3.6,Japan,1999,
"Perez Companc, Gregorio",3.6,Argentina,1999,
"Bass, Lee Marshall",3.5,USA,1999,
Brost & Funke families,3.5,Germany,1999,
"Del Vecchio, Leonardo",3.5,Italy,1999,
"Jacobs, Klaus",3.5,Switzerland,1999,
"Kamel, Saleh",3.5,Saudi Arabia,1999,
"Perenchio, Andrew Jerrold",3.5,USA,1999,
"Botin, Emilio and family",3.4,Spain,1999,
"Dassault, Serge and family",3.4,France,1999,
"von Holtzbrinck, Dieter and family",3.4,Germany,1999,
"Agnelli, Giovanni and family",3.3,Italy,1999,
"Grosvenor, Gerald Cavendish",3.3,UK,1999,
"Ng, Teng Fong and Robert",3.3,Singapore,1999,
"Schmidheiny, Thomas",3.3,Switzerland,1999,
"Greenberg, Maurice Raymond",3.2,USA,1999,
"Huntsman, Jon Meade",3.2,USA,1999,
Khoo Teck Puat,3.2,Singapore,1999,
Kwek Leng Beng,3.2,Singapore,1999,
"Mohn, Reinhard and family",3.2,Germany,1999,
Verspieren/Decoster family,3.2,France,1999,
"Heineken, Alfred",3.1,Netherlands,1999,
"Kipp, Karl-Heinz",3.1,Germany,1999,
"Oshima, Kenshin",3.1,Japan,1999,
"Al Rajhi, Saleh bin Abdul Aziz",3,Saudi Arabia,1999,
"Iwasaki, Fukuzo",3,Japan,1999,
"Oetker, Rudolf and family",3,Germany,1999,
Von Siemens family,3,Germany,1999,
Wonowidjojo family,3,Indonesia,1999,
"Ebner, Martin",2.9,Switzerland,1999,
"Mann, Hugo",2.9,Germany,1999,
Moores family,2.9,UK,1999,
"Mxller, Maersk Mc-kinney",2.9,Denmark,1999,
"Koc, Rahmi and family",2.8,Turkey,1999,
"Kristiansen, Kjeld Kirk",2.8,Denmark,1999,
"Mendoza, Lorenzo and family",2.8,Venezuela,1999,
"Premji, Azim",2.8,India,1999,
Fentener van Vlissingen family,2.7,Netherlands,1999,
"Hector, Hans Werner",2.7,Germany,1999,
"Branson, Richard",2.6,UK,1999,
"Ermirio de Moraes, Antonio and family",2.6,Brazil,1999,
"Hsu, Douglas",2.6,Taiwan,1999,
"Itoyama, Eitaro",2.6,Japan,1999,
"Kamprad, Ingvar",2.6,Sweden,1999,
"Takenaka, Toichi",2.6,Japan,1999,
"Ty, George",2.6,Philippines,1999,
Brenninkmeyer family,2.5,Netherlands,1999,
"Faria, Aloysio de Andrade",2.5,Brazil,1999,
"Safra, Edmond",2.5,Lebanon,1999,
"Sahenk, Ayhan and family",2.5,Turkey,1999,
"Widjaja, Eka Tjipta",2.5,Indonesia,1999,
"Bin Mahfouz, Khalid",2.4,Saudi Arabia,1999,
"Kadoorie, Michael and family",2.4,Hong Kong,1999,
"Schoerghuber, Stefan",2.4,Germany,1999,
"Dorrance, John T. 3rd",2.3,Ireland,1999,
"Dumas, Jean-Louis and family",2.3,France,1999,
"Foriel-Destezet, Phillipe",2.3,France,1999,
"Fukuda, Yoshitake",2.3,Japan,1999,
"Goldschmeding, Frits",2.3,Netherlands,1999,
"Louis-Dreyfus, Gerard and family",2.3,France,1999,
"Mantegazza, Sergio",2.3,switzerland,1999,
"Otsuka, Masahito",2.3,Japan,1999,
"Rocca, Roberto and family",2.3,Argentina,1999,
"Sy, Henry",2.3,Philippines,1999,
"Yamaguchi, Hisakazu",2.3,Japan,1999,
"David-Weill, Michel",2.2,France,1999,
"Haffa, Thomas",2.2,Germany,1999,
"Jinnai, Ryoichi",2.2,Japan,1999,
"Oppenheimer, Nicky and family",2.2,South Africa,1999,
"Schmid, Gerhard",2.2,Germany,1999,
"Tan, Lucio",2.2,--,1999,
