name,wealth,country,year,age
"Gates, William H. III",60,United States,2000,
"Ellison, Lawrence Joseph",47,United States,2000,
"Allen, Paul Gardner",28,United States,2000,
"Buffett, Warren Edward",25.6,United States,2000,
"Albrecht, Theo & Karl and family",20,Germany,2000,
"Alsaud, Prince Alwaleed Bin Talal",20,Saudi Arabia,2000,
"Walton, S. Robson",20,United States,2000,
"Son, Masayoshi",19.4,Japan,2000,
"Dell, Michael",19.1,United States,2000,
"Thomson, Kenneth",16.1,Canada,2000,
"Anschutz, Philip F.",15.5,United States,2000,
"Ballmer, Steven Anthony",15.5,United States,2000,
"Bettencourt, Liliane",15.2,France,2000,
"Berlusconi, Silvio",12.8,Italy,2000,
"Quandt, Johanna and family",12.8,Germany,2000,
"Arnault, Bernard",12.6,France,2000,
"Redstone, Sumner M.",12.1,United States,2000,
"Kluge, John Werner",11.9,United States,2000,
"Kirch, Leo",11.5,Germany,2000,
Li Ka-shing,11.3,Hong Kong,2000,
"Ergen, Charles",11.2,United States,2000,
"Pritzker, Thomas J.",10.7,United States,2000,
"Murdoch, Keith Rupert",9.4,United States,2000,
"Takei, Yasuo",9.3,Japan,2000,
"Bertarelli, Ernesto",9.1,Switzerland,2000,
"Kwok brothers, Walter, Thomas, Raymond",9,Hong Kong,2000,
"Rausing, Gad and family",9,Sweden,2000,
Lee Shau Kee,8.6,Hong Kong,2000,
"Haefner, Walter",8.3,Switzerland,2000,
"Turner, Robert E. (Ted)",8.3,United States,2000,
"Karamehmet, Mehmet and family",8,Turkey,2000,
"Olayan, Suliman",8,Saudi Arabia,2000,
"Slim Helu, Carlos",7.9,Mexico,2000,
"Pinault, Francois",7.8,France,2000,
"Persson, Stefan",7.7,Sweden,2000,
"Schwab, Charles R.",7.5,United States,2000,
"Johnson, Abigail",7.4,United States,2000,
"Rausing, Hans",7.4,Sweden,2000,
"Saji, Nobutada and family",7.1,Japan,2000,
"Mars, Forrest Edward Jr.",7,United States,2000,
"Mars, Jacqueline Badger",7,United States,2000,
"Mars, John Franklyn",7,United States,2000,
"Premji, Azim and family",6.9,India,2000,
Tsai Wan-lin and family,6.7,Taiwan,2000,
"Ambani, Dhirubhai and family",6.6,India,2000,
"Filo, David",6.6,United States,2000,
"Huntsman, Jon Meade",6.6,United States,2000,
"Sidhu, Sanjiv",6.5,United States,2000,
