name,age,wealth,country,residence,year
William Gates III,48,46.6,United States,"United States , WA , Medina",2004
Warren Buffett,73,42.9,United States,"United States , NE , Omaha",2004
Karl Albrecht,84,23,Germany,"Germany , Donaueschingen",2004
Prince Alwaleed Bin Talal Alsaud,47,21.5,Saudi Arabia,"Saudi Arabia , Riyadh",2004
Paul Allen,51,21,United States,"United States , WA , Mercer Island",2004
Alice Walton,55,20,United States,"United States , TX , Fort Worth",2004
Helen Walton,84,20,United States,"United States , AR , Bentonville",2004
Jim Walton,56,20,United States,"United States , AR , Bentonville",2004
John Walton,58,20,United States,"United States , AR , Bentonville",2004
S Robson Walton,60,20,United States,"United States , AR , Bentonville",2004
Liliane Bettencourt,81,18.8,France,"France , Paris",2004
Lawrence Ellison,59,18.7,United States,"United States , CA , Redwood Shores",2004
Ingvar Kamprad,77,18.5,Sweden,"Switzerland , Lausanne",2004
Theo Albrecht,81,18.1,Germany,"Germany , Foehr",2004
Kenneth Thomson & family,80,17.2,Canada,"Canada , Toronto",2004
Mikhail Khodorkovsky,40,15,Russia,"Russia , Moscow",2004
Carlos Slim Helu,64,13.9,Mexico,"Mexico , Mexico City",2004
Michael Dell,39,13,United States,"United States , TX , Round Rock",2004
Steven Ballmer,47,12.4,United States,"United States , WA , Redmond",2004
Li Ka-shing,75,12.4,Hong Kong,"Hong Kong , Hong Kong",2004
Bernard Arnault,55,12.2,France,"France , Paris",2004
"Walter, Thomas & Raymond Kwok",--,11.4,Hong Kong,"Hong Kong , Hong Kong",2004
Barbara Cox Anthony,80,11.2,United States,"United States , HI , Honolulu",2004
Anne Cox Chambers,84,11.2,United States,"United States , GA , Atlanta",2004
Roman Abramovich,37,10.6,Russia,"Russia , Anadyr",2004
John Kluge,89,10.5,United States,"United States , FL , Palm Beach",2004
Forrest Mars Jr,72,10.4,United States,"United States , VA , McLean",2004
Jacqueline Mars,65,10.4,United States,"United States , NJ , Bedminster",2004
John Mars,67,10.4,United States,"United States , VA , Arlington",2004
Silvio Berlusconi,67,10,Italy,"Italy , North of Milan",2004
Abigail Johnson,42,9.8,United States,"United States , MA , Boston",2004
Birgit Rausing & family,80,9.3,Sweden,Switzerland,2004
Amancio Ortega,68,9.2,Spain,"Spain , La Coruna",2004
Charles Ergen,51,9.1,United States,"United States , CO , Denver",2004
Sumner Redstone,80,8.9,United States,"United States , CA , Beverly Hills",2004
Gerald Cavendish Grosvenor,52,8.7,United Kingdom,"United Kingdom , Chester",2004
Stefan Persson,56,8.6,Sweden,"Sweden , Stockholm",2004
Pierre Omidyar,36,8.5,United States,"United States , NV , Henderson",2004
Nasser Al-Kharafi & family,60,8.4,Kuwait,Kuwait,2004
Susanne Klatten,42,8.1,Germany,"Germany , Bad Homburg",2004
Michael Otto & family,60,8,Germany,"Germany , Hamburg",2004
Hans Rausing,77,8,Sweden,"United Kingdom , Wadhurst",2004
Keith Murdoch,73,7.8,United States,"United States , NY , New York",2004
Donald Newhouse,74,7.7,United States,"United States , NJ , Somerset County",2004
Samuel Newhouse Jr,76,7.7,United States,"United States , NY , New York",2004
Galen Weston & family,63,7.7,Canada,"Canada , Toronto",2004
Carl Icahn,68,7.6,United States,"United States , NY , New York",2004
Robert Pritzker,77,7.6,United States,"United States , IL , Chicago",2004
Thomas Pritzker,53,7.6,United States,"United States , IL , Chicago",2004
Rudolf August Oetker & family,87,7.5,Germany,"Germany , Bielefeld",2004
Ernesto Bertarelli,38,7.4,Switzerland,"Switzerland , Geneva",2004
Samuel Johnson,75,7.4,United States,"United States , WI , Racine",2004
Philip Knight,66,7.1,United States,"United States , OR , Beaverton",2004
George Soros,73,7,United States,"United States , NY , Bedford",2004
Leonardo Del Vecchio,68,6.9,Italy,"Italy , Milan",2004
Nobutada Saji & family,58,6.9,Japan,"Japan , Hyogo",2004
August von Finck,73,6.8,Germany,"Switzerland , Thurgau",2004
Azim Premji,58,6.7,India,"India , Bangalore",2004
Stefan Quandt,38,6.5,Germany,"Germany , Bad Homburg",2004
Serge Dassault & family,79,6.4,France,"France , Paris",2004
Lee Shau Kee,76,6.3,Hong Kong,"Hong Kong , Hong Kong",2004
Lakshmi Mittal,53,6.2,India,"United Kingdom , London",2004
Yasuo Takei & family,74,6.2,Japan,"Japan , Tokyo",2004
Maria-Elisabeth & Georg Schaeffler,--,6.1,Germany,Germany,2004
Mukesh & Anil Ambani,46,6,India,"India , Bombay",2004
Kirk Kerkorian,86,6,United States,"United States , CA , Los Angeles",2004
H Ty Warner,60,6,United States,"United States , IL , Chicago",2004
Micky Arison,54,5.9,United States,"United States , FL , Bal Harbour",2004
Curt Engelhorn,77,5.9,Germany,Bermuda,2004
Eli Broad,70,5.8,United States,"United States , CA , Brentwood",2004
Friedrich Flick Jr,77,5.8,Germany,"Austria , Vienna",2004
Fukuzo Iwasaki,79,5.7,Japan,"Japan , Kagoshima",2004
Mikhail Fridman,39,5.6,Russia,"Russia , Moscow",2004
Alain & Gerard Wertheimer,--,5.6,France,"France , Paris",2004
Gordon Moore,75,5.5,United States,"United States , CA , Woodside",2004
John Abele,63,5.4,United States,"United States , MA , Boston",2004
Hasso Plattner,60,5.4,Germany,"Germany , Heidelberg",2004
Adolf Merckle,69,5.3,Germany,"Germany , Manheim",2004
Johanna Quandt,76,5.3,Germany,"Germany , Bad Homburg",2004
Philip Anschutz,64,5.2,United States,"United States , CO , Denver",2004
Antonia Johnson,60,5.2,Sweden,"Sweden , Stockholm",2004
