name,country,age,wealth,residence,year
Carlos Slim Helu & family,Mexico,70,53.5,Mexico,2010
William Gates III,United States,54,53,United States,2010
Warren Buffett,United States,79,47,United States,2010
Mukesh Ambani,India,52,29,India,2010
Lakshmi Mittal,India,59,28.7,United Kingdom,2010
Lawrence Ellison,United States,65,28,United States,2010
Bernard Arnault,France,61,27.5,France,2010
Eike Batista,Brazil,53,27,Brazil,2010
Amancio Ortega,Spain,74,25,Spain,2010
Karl Albrecht,Germany,90,23.5,Germany,2010
Ingvar Kamprad & family,Sweden,83,23,Switzerland,2010
Christy Walton & family,United States,55,22.5,United States,2010
Stefan Persson,Sweden,62,22.4,Sweden,2010
Li Ka-shing,Hong Kong,81,21,Hong Kong,2010
Jim Walton,United States,62,20.7,United States,2010
Alice Walton,United States,60,20.6,United States,2010
Liliane Bettencourt,France,87,20,France,2010
S. Robson Walton,United States,66,19.8,United States,2010
Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,55,19.4,Saudi Arabia,2010
David Thomson & family,Canada,52,19,Canada,2010
Michael Otto & family,Germany,66,18.7,Germany,2010
Lee Shau Kee,Hong Kong,82,18.5,Hong Kong,2010
Michael Bloomberg,United States,68,18,United States,2010
Sergey Brin,United States,36,17.5,United States,2010
Charles Koch,United States,74,17.5,United States,2010
David Koch,United States,69,17.5,United States,2010
Larry Page,United States,37,17.5,United States,2010
Michele Ferrero & family,Italy,83,17,Monaco,2010
Kwok family,Hong Kong,n/a,17,Hong Kong,2010
Azim Premji,India,64,17,India,2010
Theo Albrecht,Germany,88,16.7,Germany,2010
Vladimir Lisin,Russia,53,15.8,Russia,2010
Steven Ballmer,United States,54,14.5,United States,2010
Robert Kuok,Malaysia,86,14.5,Hong Kong,2010
George Soros,United States,79,14,United States,2010
Anil Ambani,India,50,13.7,India,2010
Paul Allen,United States,57,13.5,United States,2010
Michael Dell,United States,45,13.5,United States,2010
Mikhail Prokhorov,Russia,44,13.4,Russia,2010
Birgit Rausing & family,Sweden,86,13,Switzerland,2010
Shashi & Ravi Ruia,India,66,13,India,2010
Mikhail Fridman,Russia,45,12.7,Russia,2010
Jeffrey Bezos,United States,46,12.3,United States,2010
Savitri Jindal,India,60,12.2,India,2010
Donald Bren,United States,77,12,United States,2010
Gerald Cavendish Grosvenor & family,United Kingdom,58,12,United Kingdom,2010
John Paulson,United States,54,12,United States,2010
Abigail Johnson,United States,48,11.5,United States,2010
Jorge Paulo Lemann,Brazil,70,11.5,Brazil,2010
Roman Abramovich,Russia,43,11.2,Russia,2010
Susanne Klatten,Germany,47,11.1,Germany,2010
Iris Fontbona & family,Chile,n/a,11,Chile,2010
Forrest Mars Jr,United States,78,11,United States,2010
Jacqueline Mars,United States,70,11,United States,2010
John Mars,United States,73,11,United States,2010
Ronald Perelman,United States,67,11,United States,2010
Oleg Deripaska,Russia,42,10.7,Russia,2010
Vagit Alekperov,Russia,59,10.6,Russia,2010
Leonardo Del Vecchio,Italy,74,10.5,Italy,2010
Carl Icahn,United States,74,10.5,United States,2010
Vladimir Potanin,Russia,49,10.3,Russia,2010
Philip Knight,United States,72,10.2,United States,2010
Ricardo Salinas Pliego & family,Mexico,54,10.1,Mexico,2010
Mohammed Al Amoudi,Saudi Arabia,65,10,Saudi Arabia,2010
Ernesto Bertarelli & family,Switzerland,44,10,Switzerland,2010
Anne Cox Chambers,United States,90,10,United States,2010
George Kaiser,United States,67,10,United States,2010
Hans Rausing,Sweden,84,10,United Kingdom,2010
Joseph Safra,Brazil,71,10,Brazil,2010
Alexei Mordashov,Russia,44,9.9,Russia,2010
Viktor Rashnikov,Russia,61,9.8,Russia,2010
German Larrea Mota Velasco & family,Mexico,56,9.7,Mexico,2010
Sheldon Adelson,United States,76,9.3,United States,2010
Silvio Berlusconi & family,Italy,73,9,Italy,2010
Dan Duncan,United States,77,9,United States,2010
Kushal Pal Singh,India,78,9,India,2010
Nasser Al-Kharafi & family,Kuwait,66,8.7,Kuwait,2010
Francois Pinault & family,France,73,8.7,France,2010
Dmitry Rybolovlev,Russia,43,8.6,Russia,2010
Iskander Makhmudov,Russia,46,8.5,Russia,2010
James Simons,United States,71,8.5,United States,2010
Alberto Bailleres & family,Mexico,77,8.3,Mexico,2010
German Khan,Russia,48,8.2,Russia,2010
"Eliodoro, Bernardo & Patricia Matte",Chile,64,8.1,Chile,2010
Edward Johnson III,United States,79,8,United States,2010
Kumar Birla,India,42,7.9,India,2010
Sunil Mittal,India,52,7.8,India,2010
John Fredriksen,Cyprus,65,7.7,United Kingdom,2010
Serge Dassault & family,France,84,7.6,France,2010
Petr Kellner,Czech Republic,45,7.6,Czech Republic,2010
Ananda Krishnan,Malaysia,71,7.6,Malaysia,2010
Tadashi Yanai & family,Japan,61,7.6,Japan,2010
Mohamed Bin Issa Al Jaber,Saudi Arabia,51,7.5,Saudi Arabia,2010
Leonard Blavatnik,United States,52,7.5,United Kingdom,2010
David & Simon Reuben,United Kingdom,67,7.5,United Kingdom,2010
Nobutada Saji & family,Japan,64,7.5,Japan,2010
Alain & Gerard Wertheimer,France,n/a,7.5,n/a,2010
Vladimir Yevtushenkov,Russia,61,7.5,Russia,2010
August von Finck,Germany,80,7.3,Switzerland,2010
Lee Kun-Hee,South Korea,68,7.2,South Korea,2010
