name,wealth,age,source,country,year
Bill Gates,86,61,Microsoft,United States,2017
Warren Buffett,75.6,86,Berkshire Hathaway,United States,2017
Jeff Bezos,72.8,53,Amazon.com,United States,2017
Amancio Ortega,71.3,80,Zara,Spain,2017
Mark Zuckerberg,56,32,Facebook,United States,2017
Carlos Slim Helu,54.5,77,telecom,Mexico,2017
Larry Ellison,52.2,72,software,United States,2017
Charles Koch,48.3,81,diversified,United States,2017
David Koch,48.3,76,diversified,United States,2017
Michael Bloomberg,47.5,75,Bloomberg LP,United States,2017
Bernard Arnault,41.5,68,LVMH,France,2017
Larry Page,40.7,43,Google,United States,2017
Sergey Brin,39.8,43,Google,United States,2017
Liliane Bettencourt,39.5,94,L'Oreal,France,2017
S. Robson Walton,34.1,72,Wal-Mart,United States,2017
Jim Walton,34,68,Wal-Mart,United States,2017
Alice Walton,33.8,67,Wal-Mart,United States,2017
Wang Jianlin,31.3,62,real estate,China,2017
Li Ka-shing,31.2,88,diversified,Hong Kong,2017
Sheldon Adelson,30.4,83,casinos,United States,2017
Steve Ballmer,30,61,Microsoft,United States,2017
Jorge Paulo Lemann,29.2,77,beer,Brazil,2017
Jack Ma,28.3,52,e-commerce,China,2017
Beate Heister & Karl Albrecht Jr.,27.2,n/a,supermarkets,Germany,2017
David Thomson,27.2,59,media,Canada,2017
Jacqueline Mars,27,77,candy,United States,2017
John Mars,27,81,candy,United States,2017
Phil Knight,26.2,79,Nike,United States,2017
Maria Franca Fissolo,25.2,82,"Nutella, chocolates",Italy,2017
George Soros,25.2,86,hedge funds,United States,2017
Ma Huateng,24.9,45,internet media,China,2017
Lee Shau Kee,24.4,89,real estate,Hong Kong,2017
Mukesh Ambani,23.2,59,"petrochemicals, oil & gas",India,2017
Masayoshi Son,21.2,59,"internet, telecom",Japan,2017
Kjeld Kirk Kristiansen,21.1,69,Lego,Denmark,2017
Georg Schaeffler,20.7,52,automotive,Germany,2017
Joseph Safra,20.5,78,banking,Brazil,2017
Michael Dell,20.4,52,Dell computers,United States,2017
Susanne Klatten,20.4,54,"BMW, pharmaceuticals",Germany,2017
Len Blavatnik,20,59,diversified,United States,2017
Laurene Powell Jobs,20,53,"Apple, Disney",United States,2017
Paul Allen,19.9,64,"Microsoft, investments",United States,2017
Stefan Persson,19.6,69,H&M,Sweden,2017
"Theo Albrecht, Jr.",18.8,66,"Aldi, Trader Joe's",Germany,2017
Prince Alwaleed Bin Talal Alsaud,18.7,62,investments,Saudi Arabia,2017
Leonid Mikhelson,18.4,61,"gas, chemicals",Russia,2017
Charles Ergen,18.3,64,satellite TV,United States,2017
Stefan Quandt,18.3,50,BMW,Germany,2017
James Simons,18,78,hedge funds,United States,2017
Leonardo Del Vecchio,17.9,81,eyeglasses,Italy,2017
Alexey Mordashov,17.5,51,"steel, investments",Russia,2017
William Ding,17.3,45,online games,China,2017
Dieter Schwarz,17,77,retail,Germany,2017
Ray Dalio,16.8,67,hedge funds,United States,2017
Carl Icahn,16.6,81,investments,United States,2017
Lakshmi Mittal,16.4,66,steel,India,2017
Serge Dassault,16.1,91,diversified,France,2017
Vladimir Lisin,16.1,60,"steel, transport",Russia,2017
Gennady Timchenko,16,64,"oil, gas",Russia,2017
Wang Wei,15.9,46,package delivery,China,2017
Tadashi Yanai,15.9,68,fashion retail,Japan,2017
Charoen Sirivadhanabhakdi,15.8,72,"drinks, real estate",Thailand,2017
Francois Pinault,15.7,80,luxury goods,France,2017
Hinduja family,15.4,n/a,diversified,United Kingdom,2017
David & Simon Reuben,15.3,74,"investments, real estate",United Kingdom,2017
Donald Bren,15.2,84,real estate,United States,2017
Alisher Usmanov,15.2,63,"steel, telecom, investments",Russia,2017
Lee Kun-Hee,15.1,75,Samsung,South Korea,2017
Thomas & Raymond Kwok,15,n/a,real estate,Hong Kong,2017
Joseph Lau,15,65,real estate,Hong Kong,2017
Gina Rinehart,15,63,mining,Australia,2017
Azim Premji,14.9,71,software services,India,2017
Marcel Herrmann Telles,14.8,67,beer,Brazil,2017
Vagit Alekperov,14.5,66,oil,Russia,2017
Mikhail Fridman,14.4,52,"oil, banking, telecom",Russia,2017
Abigail Johnson,14.4,55,money management,United States,2017
Pallonji Mistry,14.3,87,construction,Ireland,2017
Vladimir Potanin,14.3,56,metals,Russia,2017
Wang Wenyin,14,49,"mining, copper products",China,2017
Elon Musk,13.9,45,Tesla Motors,United States,2017
Stefano Pessina,13.9,75,drugstores,Italy,2017
German Larrea Mota Velasco,13.8,63,mining,Mexico,2017
Thomas Peterffy,13.8,72,discount brokerage,United States,2017
Iris Fontbona,13.7,74,mining,Chile,2017
Dilip Shanghvi,13.7,61,pharmaceuticals,India,2017
Dietrich Mateschitz,13.4,72,Red Bull,Austria,2017
Harold Hamm,13.3,71,oil & gas,United States,2017
Robin Li,13.3,48,internet search,China,2017
Andrey Melnichenko,13.2,45,"coal, fertilizers",Russia,2017
Rupert Murdoch,13.1,86,"newspapers, TV network",United States,2017
Heinz Hermann Thiele,13.1,75,brakes,Germany,2017
Steve Cohen,13,60,hedge funds,United States,2017
Patrick Drahi,13,53,telecom,France,2017
Henry Sy,12.7,92,SM Investments Corporation,Philippines,2017
Charlene de Carvalho-Heineken,12.6,62,Heineken,Netherlands,2017
Philip Anschutz,12.5,77,investments,United States,2017
Ronald Perelman,12.5,74,leveraged buyouts,United States,2017
Hans Rausing,12.5,90,packaging,Sweden,2017
Carlos Alberto Sicupira,12.5,69,beer,Brazil,2017
Klaus-Michael Kuehne,12.4,79,shipping,Germany,2017
Viktor Vekselberg,12.4,59,"metals, energy",Russia,2017
He Xiangjian,12.3,74,home appliances,China,2017
Shiv Nadar,12.3,71,software services,India,2017
Takemitsu Takizaki,12.3,71,sensors,Japan,2017
Aliko Dangote,12.2,59,"cement, sugar, flour",Nigeria,2017
Petr Kellner,12.2,52,"banking, insurance",Czech Republic,2017
Jim Kennedy,12.2,69,media,United States,2017
Blair Parry-Okeden,12.2,66,media,United States,2017
Lui Che Woo,12.1,87,casinos,Hong Kong,2017
Donald Newhouse,12.1,87,media,United States,2017
"Samuel Newhouse, Jr.",12.1,89,media,United States,2017
Stephen Schwarzman,11.8,70,investments,United States,2017
Alain Wertheimer,11.8,68,Chanel,France,2017
Gerard Wertheimer,11.8,66,Chanel,France,2017
Robert Kuok,11.4,93,"palm oil, shipping, property",Malaysia,2017
Emmanuel Besnier,11.3,46,cheese,France,2017
